# Derived from google/mozc emoji_data.tsv, revision 9fbd649bea4c5e99cd8ad5e487213b26a953a376
# Copyright 2010-2018, Google Inc. All rights reserved.
# License: BSD-3-Clause; see THIRD_PARTY_LICENSES for full terms.
# Unicode CLDR 46.1; Copyright © 2004-2024 Unicode, Inc.
# License: Unicode-3.0; see THIRD_PARTY_LICENSES for full terms.
# azooKey porter version: 1
# Emoji version ceiling: 15.0
# Product aliases: 😄 = わらい / smile (preferred equal match).
#️⃣	かこみすうじ|しゃーぷ|しゃーぷだいやる		絵文字	1874
🅿️	ちゅうしゃ|ちゅうしゃじょう|ぱーきんぐ|ぴー|ぴーまーく		絵文字	1683
🆎	えいびーがた|けつえきがた|けつえきがたえいびーがた	ab|ab_button_blood_type|blood|button|type	血液型AB型	1682
🆑	くりあ|しーえる|しーえるまーく	button|cl|cl_button	CLマーク	1681
🆒	くーる	button|cool|cool_button	COOLマーク	1680
🆓	ただ|ふりー|むりょう	button|free|free_button	FREEマーク	1679
🆔	あいでぃー	button|id|id_button|identity	IDマーク	1678
🆕	あたらしい|しん|にゅー	button|new|new_button	NEWマーク	1677
🆖	えぬじー|えぬじーまーく|ぼつ	button|ng|ng_button	NGマーク	1676
🆗	おっけー|おーけー	button|ok|ok_button|okay	OKマーク	1675
🆘	えすおーえす|えすおーえすまーく|たすけて	button|help|sos|sos_button	SOSマーク	1674
🆙	あっぷ|こうしん	button|mark|up|up_button	UPマーク	1673
🆚	たい|ばーさす|ばーさすまーく|ぶいえす|ゔぁーさす|ゔぃえす	button|versus|vs|vs_button	VSマーク	1672
🇦🇨	あせんしょんとう|はた		絵文字	1671
🇦🇩	あんどら|はた		絵文字	1670
🇦🇪	あらぶしゅちょうこくれんぽう|はた		絵文字	1669
🇦🇫	あふがにすたん|はた		絵文字	1668
🇦🇬	あんてぃぐあばーぶーだ|はた		絵文字	1667
🇦🇮	あんぎら|はた		絵文字	1666
🇦🇱	あるばにあ|はた		絵文字	1665
🇦🇲	あるめにあ|はた		絵文字	1664
🇦🇴	あんごら|はた		絵文字	1663
🇦🇶	なんきょく|はた		絵文字	1662
🇦🇷	あるぜんちん|はた		絵文字	1661
🇦🇸	はた|べいりょうさもあ		絵文字	1660
🇦🇹	おーすとりあ|はた		絵文字	1659
🇦🇺	おーすとらりあ|はた		絵文字	1658
🇦🇼	あるば|はた		絵文字	1657
🇦🇽	おーらんどしょとう|はた		絵文字	1656
🇦🇿	あぜるばいじゃん|はた		絵文字	1655
🇧🇦	はた|ぼすにあへるつぇごびな		絵文字	1654
🇧🇧	はた|ばるばどす		絵文字	1653
🇧🇩	はた|ばんぐらでしゅ		絵文字	1652
🇧🇪	はた|べるぎー		絵文字	1651
🇧🇫	はた|ぶるきなふぁそ		絵文字	1650
🇧🇬	はた|ぶるがりあ		絵文字	1649
🇧🇭	はた|ばーれーん		絵文字	1648
🇧🇮	はた|ぶるんじ		絵文字	1647
🇧🇯	はた|べなん		絵文字	1646
🇧🇱	さんばるてるみー|はた		絵文字	1645
🇧🇲	はた|ばみゅーだ		絵文字	1644
🇧🇳	はた|ぶるねい		絵文字	1643
🇧🇴	はた|ぼりびあ		絵文字	1642
🇧🇶	おらんだりょうかりぶ|はた		絵文字	1641
🇧🇷	はた|ぶらじる		絵文字	1640
🇧🇸	はた|ばはま		絵文字	1639
🇧🇹	はた|ぶーたん		絵文字	1638
🇧🇻	はた|ぶーべとう		絵文字	1637
🇧🇼	はた|ぼつわな		絵文字	1636
🇧🇾	はた|べらるーし		絵文字	1635
🇧🇿	はた|べりーず		絵文字	1634
🇨🇦	かなだ|はた		絵文字	1633
🇨🇨	きーりんぐしょとう|ここすしょとう|はた		絵文字	1632
🇨🇩	きんしゃさ|こんごみんしゅきょうわこく|はた		絵文字	1631
🇨🇫	ちゅうおうあふりかきょうわこく|はた		絵文字	1630
🇨🇬	こんごきょうわこく|はた|ぶらざびる		絵文字	1629
🇨🇭	すいす|はた		絵文字	1628
🇨🇮	こーとじぼわーる|はた		絵文字	1627
🇨🇰	くっくしょとう|はた		絵文字	1626
🇨🇱	ちり|はた		絵文字	1625
🇨🇲	かめるーん|はた		絵文字	1624
🇨🇳	こっき|ちゅうごく|はた		絵文字	1623
🇨🇴	ころんびあ|はた		絵文字	1622
🇨🇵	くりっぱーとんとう|はた		絵文字	1621
🇨🇷	こすたりか|はた		絵文字	1620
🇨🇺	きゅーば|はた		絵文字	1619
🇨🇻	かーぼべるで|はた		絵文字	1618
🇨🇼	きゅらそー|はた		絵文字	1617
🇨🇽	くりすますとう|はた		絵文字	1616
🇨🇾	きぷろす|はた		絵文字	1615
🇨🇿	ちぇこ|はた		絵文字	1614
🇩🇪	こっき|どいつ|はた		絵文字	1613
🇩🇬	でぃえごがるしあとう|はた		絵文字	1612
🇩🇯	じぶち|はた		絵文字	1611
🇩🇰	でんまーく|はた		絵文字	1610
🇩🇲	どみにかこく|はた		絵文字	1609
🇩🇴	どみにかきょうわこく|はた		絵文字	1608
🇩🇿	あるじぇりあ|はた		絵文字	1607
🇪🇦	はた		絵文字	1606
🇪🇨	えくあどる|はた		絵文字	1605
🇪🇪	えすとにあ|はた		絵文字	1604
🇪🇬	えじぷと|はた		絵文字	1603
🇪🇭	にしさはら|はた		絵文字	1602
🇪🇷	えりとりあ|はた		絵文字	1601
🇪🇸	こっき|すぺいん|はた		絵文字	1600
🇪🇹	えちおぴあ|はた		絵文字	1599
🇪🇺	いーゆー|おうしゅうれんごう|はた		絵文字	1598
🇫🇮	はた|ふぃんらんど		絵文字	1597
🇫🇯	はた|ふぃじー		絵文字	1596
🇫🇰	はた|ふぉーくらんどしょとう		絵文字	1595
🇫🇲	はた|みくろねしあれんぽう		絵文字	1594
🇫🇴	はた|ふぇろーしょとう		絵文字	1593
🇫🇷	こっき|はた|ふらんす		絵文字	1592
🇬🇦	がぼん|はた		絵文字	1591
🇬🇧	いぎりす|こっき|はた		絵文字	1590
🇬🇩	ぐれなだ|はた		絵文字	1589
🇬🇪	じょーじあ|はた		絵文字	1588
🇬🇫	はた|ふつりょうぎあな		絵文字	1587
🇬🇬	がーんじー|はた		絵文字	1586
🇬🇭	がーな|はた		絵文字	1585
🇬🇮	じぶらるたる|はた		絵文字	1584
🇬🇱	ぐりーんらんど|はた		絵文字	1583
🇬🇲	がんびあ|はた		絵文字	1582
🇬🇳	ぎにあ|はた		絵文字	1581
🇬🇵	ぐあどるーぷ|はた		絵文字	1580
🇬🇶	せきどうぎにあ|はた		絵文字	1579
🇬🇷	ぎりしゃ|はた		絵文字	1578
🇬🇸	はた		絵文字	1577
🇬🇹	ぐあてまら|はた		絵文字	1576
🇬🇺	ぐあむ|はた		絵文字	1575
🇬🇼	ぎにあびさう|はた		絵文字	1574
🇬🇾	がいあな|はた		絵文字	1573
🇭🇰	ちゅうかじんみんきょうわこくほんこんとくべつぎょうせいく|はた|ほんこん		絵文字	1572
🇭🇲	はた|はーどとう|まくどなるどしょとう		絵文字	1571
🇭🇳	はた|ほんじゅらす		絵文字	1570
🇭🇷	くろあちあ|はた		絵文字	1569
🇭🇹	はいち|はた		絵文字	1568
🇭🇺	はた|はんがりー		絵文字	1567
🇮🇨	かなりあしょとう|はた		絵文字	1566
🇮🇩	いんどねしあ|はた		絵文字	1565
🇮🇪	あいるらんど|はた		絵文字	1564
🇮🇱	いすらえる|はた		絵文字	1563
🇮🇲	はた|まんとう		絵文字	1562
🇮🇳	いんど|はた		絵文字	1561
🇮🇴	えいりょういんどようちいき|はた		絵文字	1560
🇮🇶	いらく|はた		絵文字	1559
🇮🇷	いらん|はた		絵文字	1558
🇮🇸	あいすらんど|はた		絵文字	1557
🇮🇹	いたりあ|こっき|はた		絵文字	1556
🇯🇪	じゃーじー|はた		絵文字	1555
🇯🇲	じゃまいか|はた		絵文字	1554
🇯🇴	はた|よるだん		絵文字	1553
🇯🇵	こっき|しゅくじつ|にっぽん|にほん|はた|ひのまる		絵文字	1552
🇰🇪	けにあ|はた		絵文字	1551
🇰🇬	きるぎす|はた		絵文字	1550
🇰🇭	かんぼじあ|はた		絵文字	1549
🇰🇮	きりばす|はた		絵文字	1548
🇰🇲	こもろ|はた		絵文字	1547
🇰🇳	せんとくりすとふぁーねーゔぃす|はた		絵文字	1546
🇰🇵	きたちょうせん|はた		絵文字	1545
🇰🇷	かんこく|こっき|はた		絵文字	1544
🇰🇼	くうぇーと|はた		絵文字	1543
🇰🇾	けいまんしょとう|はた		絵文字	1542
🇰🇿	かざふすたん|はた		絵文字	1541
🇱🇦	はた|らおす		絵文字	1540
🇱🇧	はた|ればのん		絵文字	1539
🇱🇨	せんとるしあ|はた		絵文字	1538
🇱🇮	はた|りひてんしゅたいん		絵文字	1537
🇱🇰	すりらんか|はた		絵文字	1536
🇱🇷	はた|りべりあ		絵文字	1535
🇱🇸	はた|れそと		絵文字	1534
🇱🇹	はた|りとあにあ		絵文字	1533
🇱🇺	はた|るくせんぶるく		絵文字	1532
🇱🇻	はた|らとびあ		絵文字	1531
🇱🇾	はた|りびあ		絵文字	1530
🇲🇦	はた|もろっこ		絵文字	1529
🇲🇨	はた|もなこ		絵文字	1528
🇲🇩	はた|もるどば		絵文字	1527
🇲🇪	はた|もんてねぐろ		絵文字	1526
🇲🇫	さんまるたん|はた		絵文字	1525
🇲🇬	はた|まだがすかる		絵文字	1524
🇲🇭	はた|まーしゃるしょとう		絵文字	1523
🇲🇰	きたまけどにあ|はた		絵文字	1522
🇲🇱	はた|まり		絵文字	1521
🇲🇲	はた|びるま|みゃんまー		絵文字	1520
🇲🇳	はた|もんごる		絵文字	1519
🇲🇴	ちゅうかじんみんきょうわこくまかおとくべつぎょうせいく|はた|まかお		絵文字	1518
🇲🇵	きたまりあなしょとう|はた		絵文字	1517
🇲🇶	はた|まるてぃにーく		絵文字	1516
🇲🇷	はた|もーりたにあ		絵文字	1515
🇲🇸	はた|もんとせらと		絵文字	1514
🇲🇹	はた|まるた		絵文字	1513
🇲🇺	はた|もーりしゃす		絵文字	1512
🇲🇻	はた|もるでぃぶ		絵文字	1511
🇲🇼	はた|まらうい		絵文字	1510
🇲🇽	はた|めきしこ		絵文字	1509
🇲🇾	はた|まれーしあ		絵文字	1508
🇲🇿	はた|もざんびーく		絵文字	1507
🇳🇦	なみびあ|はた		絵文字	1506
🇳🇨	にゅーかれどにあ|はた		絵文字	1505
🇳🇪	にじぇーる|はた		絵文字	1504
🇳🇫	のーふぉーくとう|はた		絵文字	1503
